timestamp,latitude,longitude
1970-01-01T00:00:19,48.58485,7.77469
1970-01-01T00:00:27,48.58485,7.77469
1970-01-01T00:00:35,48.58492,7.77474
1970-01-01T00:00:43,48.58485,7.77469
1970-01-01T00:00:51,48.58485,7.77469
1970-01-01T00:00:59,48.58485,7.77469
1970-01-01T00:01:06,48.58492,7.77474
1970-01-01T00:01:14,48.58485,7.77469
1970-01-01T00:01:22,48.58485,7.77469
1970-01-01T00:01:30,48.58487,7.77468
1970-01-01T00:01:38,48.58485,7.77469
1970-01-01T00:01:46,48.58492,7.77474
1970-01-01T00:00:19,48.58492,7.77474
1970-01-01T00:00:27,48.58492,7.77474
1970-01-01T00:00:35,48.58492,7.77474
1970-01-01T00:00:43,48.58485,7.77469
1970-01-01T00:00:51,48.58485,7.77469
1970-01-01T00:00:19,48.58485,7.77469
1970-01-01T00:00:27,48.58485,7.77469
1970-01-01T00:00:35,48.58492,7.77474
2026-05-26T22:35:55,48.58485,7.77469
2026-05-26T22:36:03,48.58492,7.77474
2026-05-26T22:36:11,48.58487,7.77468
2026-05-26T22:36:20,48.58487,7.77468
2026-05-26T22:36:28,48.58491,7.77476
2026-05-26T22:36:36,48.58507,7.77477
2026-05-26T22:36:45,48.58514,7.77490
2026-05-26T22:36:53,48.58523,7.77439
2026-05-26T22:37:01,48.58507,7.77477
2026-05-26T22:37:09,48.58507,7.77477
2026-05-26T22:37:18,48.58522,7.77500
2026-05-26T22:37:26,48.58526,7.77470
2026-05-26T22:37:34,48.58522,7.77500
2026-05-26T22:37:42,48.58514,7.77490
2026-05-26T22:37:51,48.58492,7.77474
2026-05-26T22:37:59,48.58539,7.77490
2026-05-26T22:38:07,48.58509,7.77473
2026-05-26T22:38:15,48.58509,7.77473
2026-05-26T22:38:24,48.58552,7.77533
2026-05-26T22:38:32,48.58545,7.77524
2026-05-26T22:38:40,48.58585,7.77483
2026-05-26T22:38:49,48.58567,7.77550
2026-05-26T22:38:57,48.58580,7.77497
2026-05-26T22:39:05,48.58522,7.77500
2026-05-26T22:39:13,48.58580,7.77497
2026-05-26T22:39:21,48.58564,7.77515
2026-05-26T22:39:29,48.58618,7.77415
2026-05-26T22:39:37,48.58613,7.77430
2026-05-26T22:39:45,48.58618,7.77415
2026-05-26T22:39:53,48.58622,7.77404
2026-05-26T22:40:01,48.58625,7.77379
2026-05-26T22:40:08,48.58622,7.77404
2026-05-26T22:40:16,48.58583,7.77307
2026-05-26T22:40:24,48.58622,7.77404
2026-05-26T22:40:32,48.58613,7.77430
2026-05-26T22:40:41,48.58618,7.77415
2026-05-26T22:40:49,48.58628,7.77364
2026-05-26T22:40:57,48.58628,7.77364
2026-05-26T22:41:05,48.58634,7.77342
2026-05-26T22:41:13,48.58634,7.77342
2026-05-26T22:41:21,48.58629,7.77366
2026-05-26T22:41:29,48.58627,7.77371
2026-05-26T22:41:37,48.58681,7.77174
2026-05-26T22:41:45,48.58743,7.77109
2026-05-26T22:41:53,48.58625,7.77379
2026-05-26T22:42:02,48.58585,7.77483
2026-05-26T22:42:10,48.58590,7.77469
2026-05-26T22:42:18,48.58590,7.77469
2026-05-26T22:42:26,48.58618,7.77415
2026-05-26T22:42:34,48.58625,7.77379
2026-05-26T22:42:42,48.58727,7.77006
2026-05-26T22:42:51,48.58700,7.77172
2026-05-26T22:42:59,48.58700,7.77172
2026-05-26T22:43:07,48.58700,7.77172
2026-05-26T22:43:16,48.58687,7.77182
